None,E(keV),psi0rSi111,psi0iSi111,psihrSi111,psihiSi111,psihbrSi111,psihbiSi111
59,4.9,-4.1133e-05,2.3914e-06,2.1797e-05,1.6652e-06,2.1797e-05,1.6652e-06
60,4.95,-4.0302e-05,2.3002e-06,2.1356e-05,1.6018e-06,2.1356e-05,1.6018e-06
61,5.0,-3.9495e-05,2.2133e-06,2.0928e-05,1.5413e-06,2.0928e-05,1.5413e-06
62,5.05,-3.8713e-05,2.1305e-06,2.0512e-05,1.4836e-06,2.0512e-05,1.4836e-06
63,5.1,-3.7953e-05,2.0515e-06,2.0109e-05,1.4286e-06,2.0109e-05,1.4286e-06
64,5.15,-3.7215e-05,1.9761e-06,1.9717e-05,1.3761e-06,1.9717e-05,1.3761e-06
65,5.2,-3.6499e-05,1.9041e-06,1.9337e-05,1.3261e-06,1.9337e-05,1.3261e-06
66,5.25,-3.5802e-05,1.8354e-06,1.8967e-05,1.2782e-06,1.8967e-05,1.2782e-06
67,5.3,-3.5126e-05,1.7697e-06,1.8608e-05,1.2325e-06,1.8608e-05,1.2325e-06
68,5.35,-3.4468e-05,1.707e-06,1.8259e-05,1.1888e-06,1.8259e-05,1.1888e-06
69,5.4,-3.3828e-05,1.647e-06,1.7919e-05,1.147e-06,1.7919e-05,1.147e-06
70,5.45,-3.3206e-05,1.5896e-06,1.7589e-05,1.1071e-06,1.7589e-05,1.1071e-06
71,5.5,-3.26e-05,1.5347e-06,1.7267e-05,1.0688e-06,1.7267e-05,1.0688e-06
72,5.55,-3.2011e-05,1.4821e-06,1.6955e-05,1.0322e-06,1.6955e-05,1.0322e-06
73,5.6,-3.1438e-05,1.4317e-06,1.665e-05,9.9719e-07,1.665e-05,9.9719e-07
74,5.65,-3.088e-05,1.3835e-06,1.6354e-05,9.636e-07,1.6354e-05,9.636e-07
75,5.7,-3.0336e-05,1.3373e-06,1.6065e-05,9.3141e-07,1.6065e-05,9.3141e-07
76,5.75,-2.9807e-05,1.2929e-06,1.5784e-05,9.0056e-07,1.5784e-05,9.0056e-07
77,5.8,-2.9291e-05,1.2504e-06,1.551e-05,8.7096e-07,1.551e-05,8.7096e-07
78,5.85,-2.8788e-05,1.2097e-06,1.5244e-05,8.4257e-07,1.5244e-05,8.4257e-07
79,5.9,-2.8299e-05,1.1705e-06,1.4984e-05,8.1533e-07,1.4984e-05,8.1533e-07
80,5.95,-2.7821e-05,1.133e-06,1.473e-05,7.8917e-07,1.473e-05,7.8917e-07
81,6.0,-2.7356e-05,1.0969e-06,1.4483e-05,7.6405e-07,1.4483e-05,7.6405e-07
82,6.05,-2.6902e-05,1.0622e-06,1.4242e-05,7.3992e-07,1.4242e-05,7.3992e-07
83,6.1,-2.6459e-05,1.0289e-06,1.4007e-05,7.1673e-07,1.4007e-05,7.1673e-07
84,6.15,-2.6027e-05,9.969e-07,1.3778e-05,6.9444e-07,1.3778e-05,6.9444e-07
85,6.2,-2.5605e-05,9.6612e-07,1.3554e-05,6.73e-07,1.3554e-05,6.73e-07
86,6.25,-2.5194e-05,9.3651e-07,1.3335e-05,6.5239e-07,1.3335e-05,6.5239e-07
87,6.3,-2.4792e-05,9.0802e-07,1.3122e-05,6.3255e-07,1.3122e-05,6.3255e-07
88,6.35,-2.44e-05,8.8061e-07,1.2914e-05,6.1347e-07,1.2914e-05,6.1347e-07
89,6.4,-2.4017e-05,8.5422e-07,1.2711e-05,5.9509e-07,1.2711e-05,5.9509e-07
90,6.45,-2.3642e-05,8.2881e-07,1.2512e-05,5.7739e-07,1.2512e-05,5.7739e-07
91,6.5,-2.3277e-05,8.0433e-07,1.2318e-05,5.6035e-07,1.2318e-05,5.6035e-07
92,6.55,-2.292e-05,7.8075e-07,1.2129e-05,5.4393e-07,1.2129e-05,5.4393e-07
93,6.6,-2.2571e-05,7.5802e-07,1.1944e-05,5.281e-07,1.1944e-05,5.281e-07
94,6.65,-2.223e-05,7.3611e-07,1.1763e-05,5.1284e-07,1.1763e-05,5.1284e-07
95,6.7,-2.1896e-05,7.1499e-07,1.1586e-05,4.9813e-07,1.1586e-05,4.9813e-07
96,6.75,-2.157e-05,6.9461e-07,1.1413e-05,4.8394e-07,1.1413e-05,4.8394e-07
97,6.8,-2.1252e-05,6.7495e-07,1.1244e-05,4.7025e-07,1.1244e-05,4.7025e-07
98,6.85,-2.094e-05,6.5598e-07,1.1078e-05,4.5704e-07,1.1078e-05,4.5704e-07
99,6.9,-2.0635e-05,6.3767e-07,1.0916e-05,4.4429e-07,1.0916e-05,4.4429e-07
100,6.95,-2.0336e-05,6.1999e-07,1.0758e-05,4.3198e-07,1.0758e-05,4.3198e-07
101,7.0,-2.0044e-05,6.0292e-07,1.0603e-05,4.2009e-07,1.0603e-05,4.2009e-07
102,7.05,-1.9758e-05,5.8643e-07,1.0451e-05,4.086e-07,1.0451e-05,4.086e-07
103,7.1,-1.9479e-05,5.705e-07,1.0303e-05,3.975e-07,1.0303e-05,3.975e-07
104,7.15,-1.9205e-05,5.551e-07,1.0158e-05,3.8678e-07,1.0158e-05,3.8678e-07
105,7.2,-1.8937e-05,5.4021e-07,1.0016e-05,3.7641e-07,1.0016e-05,3.7641e-07
106,7.25,-1.8674e-05,5.2582e-07,9.8763e-06,3.6639e-07,9.8763e-06,3.6639e-07
107,7.3,-1.8417e-05,5.1191e-07,9.7399e-06,3.567e-07,9.7399e-06,3.567e-07
108,7.35,-1.8165e-05,4.9845e-07,9.6063e-06,3.4733e-07,9.6063e-06,3.4733e-07
109,7.4,-1.7918e-05,4.8543e-07,9.4754e-06,3.3826e-07,9.4754e-06,3.3826e-07
110,7.45,-1.7676e-05,4.7283e-07,9.3472e-06,3.2948e-07,9.3472e-06,3.2948e-07
111,7.5,-1.7439e-05,4.6063e-07,9.2215e-06,3.2098e-07,9.2215e-06,3.2098e-07
112,7.55,-1.7207e-05,4.4882e-07,9.0984e-06,3.1276e-07,9.0984e-06,3.1276e-07
113,7.6,-1.698e-05,4.3739e-07,8.9777e-06,3.048e-07,8.9777e-06,3.048e-07
114,7.65,-1.6756e-05,4.2632e-07,8.8594e-06,2.9708e-07,8.8594e-06,2.9708e-07
115,7.7,-1.6538e-05,4.1559e-07,8.7434e-06,2.8961e-07,8.7434e-06,2.8961e-07
116,7.75,-1.6323e-05,4.052e-07,8.6296e-06,2.8237e-07,8.6296e-06,2.8237e-07
117,7.8,-1.6113e-05,3.9513e-07,8.5181e-06,2.7536e-07,8.5181e-06,2.7536e-07
118,7.85,-1.5906e-05,3.8537e-07,8.4087e-06,2.6856e-07,8.4087e-06,2.6856e-07
119,7.9,-1.5704e-05,3.7591e-07,8.3014e-06,2.6197e-07,8.3014e-06,2.6197e-07
120,7.95,-1.5505e-05,3.6673e-07,8.1961e-06,2.5558e-07,8.1961e-06,2.5558e-07
121,8.0,-1.531e-05,3.5783e-07,8.0928e-06,2.4938e-07,8.0928e-06,2.4938e-07
122,8.05,-1.5119e-05,3.492e-07,7.9915e-06,2.4337e-07,7.9915e-06,2.4337e-07
123,8.1,-1.4931e-05,3.4083e-07,7.892e-06,2.3754e-07,7.892e-06,2.3754e-07
124,8.15,-1.4747e-05,3.3271e-07,7.7944e-06,2.3188e-07,7.7944e-06,2.3188e-07
125,8.2,-1.4566e-05,3.2482e-07,7.6985e-06,2.2638e-07,7.6985e-06,2.2638e-07
126,8.25,-1.4389e-05,3.1717e-07,7.6045e-06,2.2105e-07,7.6045e-06,2.2105e-07
127,8.3,-1.4215e-05,3.0974e-07,7.5121e-06,2.1587e-07,7.5121e-06,2.1587e-07
128,8.35,-1.4043e-05,3.0252e-07,7.4214e-06,2.1085e-07,7.4214e-06,2.1085e-07
129,8.4,-1.3875e-05,2.9552e-07,7.3323e-06,2.0597e-07,7.3323e-06,2.0597e-07
130,8.45,-1.371e-05,2.8871e-07,7.2449e-06,2.0123e-07,7.2449e-06,2.0123e-07
131,8.5,-1.3548e-05,2.821e-07,7.1589e-06,1.9662e-07,7.1589e-06,1.9662e-07
132,8.55,-1.3389e-05,2.7567e-07,7.0745e-06,1.9214e-07,7.0745e-06,1.9214e-07
133,8.6,-1.3232e-05,2.6943e-07,6.9916e-06,1.8779e-07,6.9916e-06,1.8779e-07
134,8.65,-1.3078e-05,2.6336e-07,6.9101e-06,1.8356e-07,6.9101e-06,1.8356e-07
135,8.7,-1.2927e-05,2.5746e-07,6.8301e-06,1.7945e-07,6.8301e-06,1.7945e-07
136,8.75,-1.2779e-05,2.5173e-07,6.7514e-06,1.7546e-07,6.7514e-06,1.7546e-07
137,8.8,-1.2633e-05,2.4615e-07,6.6741e-06,1.7157e-07,6.6741e-06,1.7157e-07
138,8.85,-1.2489e-05,2.4072e-07,6.598e-06,1.6779e-07,6.598e-06,1.6779e-07
139,8.9,-1.2348e-05,2.3545e-07,6.5233e-06,1.6412e-07,6.5233e-06,1.6412e-07
140,8.95,-1.221e-05,2.3031e-07,6.4499e-06,1.6054e-07,6.4499e-06,1.6054e-07
141,9.0,-1.2073e-05,2.2532e-07,6.3776e-06,1.5706e-07,6.3776e-06,1.5706e-07
142,9.05,-1.1939e-05,2.2046e-07,6.3066e-06,1.5367e-07,6.3066e-06,1.5367e-07
143,9.1,-1.1807e-05,2.1573e-07,6.2367e-06,1.5038e-07,6.2367e-06,1.5038e-07
144,9.15,-1.1677e-05,2.1112e-07,6.1681e-06,1.4717e-07,6.1681e-06,1.4717e-07
145,9.2,-1.155e-05,2.0664e-07,6.1005e-06,1.4404e-07,6.1005e-06,1.4404e-07
146,9.25,-1.1424e-05,2.0227e-07,6.034e-06,1.41e-07,6.034e-06,1.41e-07
147,9.3,-1.1301e-05,1.9802e-07,5.9686e-06,1.3804e-07,5.9686e-06,1.3804e-07
148,9.35,-1.1179e-05,1.9388e-07,5.9043e-06,1.3515e-07,5.9043e-06,1.3515e-07
149,9.4,-1.106e-05,1.8985e-07,5.841e-06,1.3234e-07,5.841e-06,1.3234e-07
150,9.45,-1.0942e-05,1.8592e-07,5.7787e-06,1.296e-07,5.7787e-06,1.296e-07
151,9.5,-1.0826e-05,1.8209e-07,5.7174e-06,1.2694e-07,5.7174e-06,1.2694e-07
152,9.55,-1.0712e-05,1.7836e-07,5.6571e-06,1.2434e-07,5.6571e-06,1.2434e-07
153,9.6,-1.06e-05,1.7472e-07,5.5977e-06,1.218e-07,5.5977e-06,1.218e-07
154,9.65,-1.049e-05,1.7117e-07,5.5393e-06,1.1933e-07,5.5393e-06,1.1933e-07
155,9.7,-1.0381e-05,1.6772e-07,5.4817e-06,1.1692e-07,5.4817e-06,1.1692e-07
156,9.75,-1.0274e-05,1.6435e-07,5.4251e-06,1.1457e-07,5.4251e-06,1.1457e-07
157,9.8,-1.0169e-05,1.6106e-07,5.3693e-06,1.1228e-07,5.3693e-06,1.1228e-07
158,9.85,-1.0065e-05,1.5786e-07,5.3144e-06,1.1005e-07,5.3144e-06,1.1005e-07
159,9.9,-9.9629e-06,1.5473e-07,5.2603e-06,1.0787e-07,5.2603e-06,1.0787e-07
160,9.95,-9.8622e-06,1.5168e-07,5.2071e-06,1.0575e-07,5.2071e-06,1.0575e-07
161,10.0,-9.7631e-06,1.4871e-07,5.1546e-06,1.0368e-07,5.1546e-06,1.0368e-07
162,10.05,-9.6655e-06,1.4581e-07,5.1029e-06,1.0165e-07,5.1029e-06,1.0165e-07
163,10.1,-9.5693e-06,1.4298e-07,5.052e-06,9.968e-08,5.052e-06,9.968e-08
164,10.15,-9.4746e-06,1.4021e-07,5.0019e-06,9.7754e-08,5.0019e-06,9.7754e-08
165,10.2,-9.3812e-06,1.3751e-07,4.9525e-06,9.5873e-08,4.9525e-06,9.5873e-08
166,10.25,-9.2893e-06,1.3488e-07,4.9038e-06,9.4038e-08,4.9038e-06,9.4038e-08
167,10.3,-9.1986e-06,1.3231e-07,4.8559e-06,9.2246e-08,4.8559e-06,9.2246e-08
168,10.35,-9.1093e-06,1.298e-07,4.8086e-06,9.0497e-08,4.8086e-06,9.0497e-08
169,10.4,-9.0213e-06,1.2735e-07,4.7621e-06,8.8788e-08,4.7621e-06,8.8788e-08
170,10.45,-8.9346e-06,1.2495e-07,4.7162e-06,8.712e-08,4.7162e-06,8.712e-08
171,10.5,-8.8491e-06,1.2261e-07,4.6709e-06,8.549e-08,4.6709e-06,8.549e-08
172,10.55,-8.7648e-06,1.2033e-07,4.6263e-06,8.3898e-08,4.6263e-06,8.3898e-08
173,10.6,-8.6817e-06,1.181e-07,4.5824e-06,8.2343e-08,4.5824e-06,8.2343e-08
174,10.65,-8.5998e-06,1.1592e-07,4.539e-06,8.0823e-08,4.539e-06,8.0823e-08
175,10.7,-8.519e-06,1.1379e-07,4.4963e-06,7.9338e-08,4.4963e-06,7.9338e-08
176,10.75,-8.4394e-06,1.1171e-07,4.4542e-06,7.7887e-08,4.4542e-06,7.7887e-08
177,10.8,-8.3609e-06,1.0967e-07,4.4127e-06,7.6469e-08,4.4127e-06,7.6469e-08
178,10.85,-8.2835e-06,1.0768e-07,4.3717e-06,7.5083e-08,4.3717e-06,7.5083e-08
179,10.9,-8.2071e-06,1.0574e-07,4.3313e-06,7.3728e-08,4.3313e-06,7.3728e-08
180,10.95,-8.1318e-06,1.0384e-07,4.2915e-06,7.2403e-08,4.2915e-06,7.2403e-08
181,11.0,-8.0575e-06,1.0198e-07,4.2522e-06,7.1108e-08,4.2522e-06,7.1108e-08
182,11.05,-7.9843e-06,1.0016e-07,4.2135e-06,6.9841e-08,4.2135e-06,6.9841e-08
183,11.1,-7.912e-06,9.8385e-08,4.1753e-06,6.8603e-08,4.1753e-06,6.8603e-08
184,11.15,-7.8407e-06,9.6647e-08,4.1376e-06,6.7391e-08,4.1376e-06,6.7391e-08
185,11.2,-7.7704e-06,9.4947e-08,4.1004e-06,6.6206e-08,4.1004e-06,6.6206e-08
186,11.25,-7.701e-06,9.3285e-08,4.0637e-06,6.5047e-08,4.0637e-06,6.5047e-08
187,11.3,-7.6326e-06,9.1658e-08,4.0275e-06,6.3913e-08,4.0275e-06,6.3913e-08
188,11.35,-7.565e-06,9.0066e-08,3.9917e-06,6.2804e-08,3.9917e-06,6.2804e-08
189,11.4,-7.4984e-06,8.8508e-08,3.9565e-06,6.1718e-08,3.9565e-06,6.1718e-08
190,11.45,-7.4326e-06,8.6984e-08,3.9217e-06,6.0656e-08,3.9217e-06,6.0656e-08
191,11.5,-7.3677e-06,8.5493e-08,3.8874e-06,5.9616e-08,3.8874e-06,5.9616e-08
192,11.55,-7.3036e-06,8.4033e-08,3.8535e-06,5.8598e-08,3.8535e-06,5.8598e-08
193,11.6,-7.2403e-06,8.2604e-08,3.8201e-06,5.7602e-08,3.8201e-06,5.7602e-08
194,11.65,-7.1779e-06,8.1205e-08,3.7871e-06,5.6627e-08,3.7871e-06,5.6627e-08
195,11.7,-7.1163e-06,7.9835e-08,3.7545e-06,5.5672e-08,3.7545e-06,5.5672e-08
196,11.75,-7.0555e-06,7.8494e-08,3.7223e-06,5.4737e-08,3.7223e-06,5.4737e-08
197,11.8,-6.9954e-06,7.7181e-08,3.6906e-06,5.3822e-08,3.6906e-06,5.3822e-08
198,11.85,-6.9361e-06,7.5895e-08,3.6592e-06,5.2926e-08,3.6592e-06,5.2926e-08
199,11.9,-6.8776e-06,7.4636e-08,3.6283e-06,5.2048e-08,3.6283e-06,5.2048e-08
200,11.95,-6.8198e-06,7.3402e-08,3.5977e-06,5.1188e-08,3.5977e-06,5.1188e-08
201,12.0,-6.7627e-06,7.2194e-08,3.5675e-06,5.0346e-08,3.5675e-06,5.0346e-08
202,12.05,-6.7063e-06,7.1011e-08,3.5377e-06,4.9521e-08,3.5377e-06,4.9521e-08
203,12.1,-6.6507e-06,6.9851e-08,3.5083e-06,4.8712e-08,3.5083e-06,4.8712e-08
204,12.15,-6.5957e-06,6.8715e-08,3.4793e-06,4.792e-08,3.4793e-06,4.792e-08
205,12.2,-6.5414e-06,6.7602e-08,3.4506e-06,4.7144e-08,3.4506e-06,4.7144e-08
206,12.25,-6.4878e-06,6.6511e-08,3.4222e-06,4.6384e-08,3.4222e-06,4.6384e-08
207,12.3,-6.4348e-06,6.5442e-08,3.3942e-06,4.5639e-08,3.3942e-06,4.5639e-08
208,12.35,-6.3825e-06,6.4394e-08,3.3666e-06,4.4908e-08,3.3666e-06,4.4908e-08
209,12.4,-6.3308e-06,6.3367e-08,3.3393e-06,4.4192e-08,3.3393e-06,4.4192e-08
210,12.45,-6.2798e-06,6.2361e-08,3.3123e-06,4.349e-08,3.3123e-06,4.349e-08
211,12.5,-6.2293e-06,6.1374e-08,3.2856e-06,4.2802e-08,3.2856e-06,4.2802e-08
212,12.55,-6.1795e-06,6.0406e-08,3.2593e-06,4.2128e-08,3.2593e-06,4.2128e-08
213,12.6,-6.1302e-06,5.9458e-08,3.2332e-06,4.1467e-08,3.2332e-06,4.1467e-08
214,12.65,-6.0816e-06,5.8528e-08,3.2075e-06,4.0818e-08,3.2075e-06,4.0818e-08
215,12.7,-6.0335e-06,5.7615e-08,3.1821e-06,4.0182e-08,3.1821e-06,4.0182e-08
216,12.75,-5.986e-06,5.6721e-08,3.157e-06,3.9559e-08,3.157e-06,3.9559e-08
217,12.8,-5.939e-06,5.5844e-08,3.1322e-06,3.8947e-08,3.1322e-06,3.8947e-08
218,12.85,-5.8926e-06,5.4983e-08,3.1077e-06,3.8347e-08,3.1077e-06,3.8347e-08
219,12.9,-5.8467e-06,5.4139e-08,3.0834e-06,3.7759e-08,3.0834e-06,3.7759e-08
220,12.95,-5.8014e-06,5.3311e-08,3.0595e-06,3.7181e-08,3.0595e-06,3.7181e-08
221,13.0,-5.7566e-06,5.2499e-08,3.0358e-06,3.6615e-08,3.0358e-06,3.6615e-08
222,13.05,-5.7123e-06,5.1702e-08,3.0124e-06,3.6059e-08,3.0124e-06,3.6059e-08
223,13.1,-5.6685e-06,5.092e-08,2.9893e-06,3.5514e-08,2.9893e-06,3.5514e-08
224,13.15,-5.6253e-06,5.0152e-08,2.9664e-06,3.4979e-08,2.9664e-06,3.4979e-08
225,13.2,-5.5825e-06,4.9399e-08,2.9438e-06,3.4454e-08,2.9438e-06,3.4454e-08
226,13.25,-5.5402e-06,4.8661e-08,2.9215e-06,3.3939e-08,2.9215e-06,3.3939e-08
227,13.3,-5.4984e-06,4.7935e-08,2.8994e-06,3.3433e-08,2.8994e-06,3.3433e-08
228,13.35,-5.457e-06,4.7223e-08,2.8775e-06,3.2937e-08,2.8775e-06,3.2937e-08
229,13.4,-5.4161e-06,4.6525e-08,2.8559e-06,3.245e-08,2.8559e-06,3.245e-08
230,13.45,-5.3757e-06,4.5839e-08,2.8346e-06,3.1971e-08,2.8346e-06,3.1971e-08
231,13.5,-5.3358e-06,4.5165e-08,2.8135e-06,3.1502e-08,2.8135e-06,3.1502e-08
232,13.55,-5.2962e-06,4.4504e-08,2.7926e-06,3.1041e-08,2.7926e-06,3.1041e-08
233,13.6,-5.2571e-06,4.3855e-08,2.7719e-06,3.0588e-08,2.7719e-06,3.0588e-08
234,13.65,-5.2185e-06,4.3217e-08,2.7515e-06,3.0144e-08,2.7515e-06,3.0144e-08
235,13.7,-5.1802e-06,4.2591e-08,2.7313e-06,2.9707e-08,2.7313e-06,2.9707e-08
236,13.75,-5.1424e-06,4.1977e-08,2.7114e-06,2.9279e-08,2.7114e-06,2.9279e-08
237,13.8,-5.105e-06,4.1373e-08,2.6916e-06,2.8858e-08,2.6916e-06,2.8858e-08
238,13.85,-5.068e-06,4.078e-08,2.6721e-06,2.8444e-08,2.6721e-06,2.8444e-08
239,13.9,-5.0314e-06,4.0197e-08,2.6527e-06,2.8038e-08,2.6527e-06,2.8038e-08
240,13.95,-4.9952e-06,3.9625e-08,2.6336e-06,2.7639e-08,2.6336e-06,2.7639e-08
241,14.0,-4.9594e-06,3.9063e-08,2.6147e-06,2.7247e-08,2.6147e-06,2.7247e-08
242,14.05,-4.924e-06,3.8511e-08,2.596e-06,2.6862e-08,2.596e-06,2.6862e-08
243,14.1,-4.8889e-06,3.7969e-08,2.5775e-06,2.6484e-08,2.5775e-06,2.6484e-08
244,14.15,-4.8543e-06,3.7436e-08,2.5592e-06,2.6112e-08,2.5592e-06,2.6112e-08
245,14.2,-4.82e-06,3.6912e-08,2.541e-06,2.5747e-08,2.541e-06,2.5747e-08
246,14.25,-4.786e-06,3.6397e-08,2.5231e-06,2.5388e-08,2.5231e-06,2.5388e-08
247,14.3,-4.7524e-06,3.5891e-08,2.5054e-06,2.5035e-08,2.5054e-06,2.5035e-08
248,14.35,-4.7192e-06,3.5394e-08,2.4878e-06,2.4689e-08,2.4878e-06,2.4689e-08
249,14.4,-4.6863e-06,3.4906e-08,2.4705e-06,2.4348e-08,2.4705e-06,2.4348e-08
250,14.45,-4.6538e-06,3.4426e-08,2.4533e-06,2.4013e-08,2.4533e-06,2.4013e-08
251,14.5,-4.6215e-06,3.3954e-08,2.4363e-06,2.3684e-08,2.4363e-06,2.3684e-08
252,14.55,-4.5897e-06,3.349e-08,2.4194e-06,2.3361e-08,2.4194e-06,2.3361e-08
253,14.6,-4.5581e-06,3.3034e-08,2.4028e-06,2.3043e-08,2.4028e-06,2.3043e-08
254,14.65,-4.5269e-06,3.2585e-08,2.3863e-06,2.273e-08,2.3863e-06,2.273e-08
255,14.7,-4.496e-06,3.2144e-08,2.37e-06,2.2423e-08,2.37e-06,2.2423e-08
256,14.75,-4.4654e-06,3.1711e-08,2.3538e-06,2.212e-08,2.3538e-06,2.212e-08
